time_us,layer,event,detail
13402.471320,link,write0_slot,"bit=2"
13494.116755,link,write0_slot,"bit=3"
13585.762190,link,write1_slot,"bit=4"
13677.407625,link,write1_slot,"bit=5"
13769.053060,link,write0_slot,"bit=6"
13860.698495,link,write0_slot,"bit=7"
13952.343930,transaction,command_accept,"0x33 response_bytes=8"
13952.343930,link,read_byte_begin,"source=0x00"
13952.343930,link,read0_slot,"bit=0"
14058.343930,link,read0_slot,"bit=1"
14164.343930,link,read0_slot,"bit=2"
14270.343930,link,read0_slot,"bit=3"
14376.343930,link,read0_slot,"bit=4"
14482.343930,link,read0_slot,"bit=5"
14588.343930,link,read0_slot,"bit=6"
14694.343930,link,read0_slot,"bit=7"
14800.343930,link,read_byte_end,"0x00"
14800.343930,link,read_byte_begin,"source=0x01"
14800.343930,link,read1_slot,"bit=0"
14896.989365,link,read0_slot,"bit=1"
15002.989365,link,read0_slot,"bit=2"
15108.989365,link,read0_slot,"bit=3"
15214.989365,link,read0_slot,"bit=4"
15320.989365,link,read0_slot,"bit=5"
15426.989365,link,read0_slot,"bit=6"
15532.989365,link,read0_slot,"bit=7"
15638.989365,link,read_byte_end,"0x01"
15638.989365,link,read_byte_begin,"source=0x00"
15638.989365,link,read0_slot,"bit=0"
15744.989365,link,read0_slot,"bit=1"
15850.989365,link,read0_slot,"bit=2"
15956.989365,link,read0_slot,"bit=3"
16062.989365,link,read0_slot,"bit=4"
16168.989365,link,read0_slot,"bit=5"
16274.989365,link,read0_slot,"bit=6"
16380.989365,link,read0_slot,"bit=7"
16486.989365,link,read_byte_end,"0x00"
16486.989365,link,read_byte_begin,"source=0x00"
16486.989365,link,read0_slot,"bit=0"
16592.989365,link,read0_slot,"bit=1"
16698.989365,link,read0_slot,"bit=2"
16804.989365,link,read0_slot,"bit=3"
16910.989365,link,read0_slot,"bit=4"
17016.989365,link,read0_slot,"bit=5"
17122.989365,link,read0_slot,"bit=6"
17228.989365,link,read0_slot,"bit=7"
17334.989365,link,read_byte_end,"0x00"
17334.989365,link,read_byte_begin,"source=0x00"
17334.989365,link,read0_slot,"bit=0"
17440.989365,link,read0_slot,"bit=1"
17546.989365,link,read0_slot,"bit=2"
17652.989365,link,read0_slot,"bit=3"
17758.989365,link,read0_slot,"bit=4"
17864.989365,link,read0_slot,"bit=5"
17970.989365,link,read0_slot,"bit=6"
18076.989365,link,read0_slot,"bit=7"
18182.989365,link,read_byte_end,"0x00"
18182.989365,link,read_byte_begin,"source=0x00"
18182.989365,link,read0_slot,"bit=0"
18288.989365,link,read0_slot,"bit=1"
18394.989365,link,read0_slot,"bit=2"
18500.989365,link,read0_slot,"bit=3"
18606.989365,link,read0_slot,"bit=4"
18712.989365,link,read0_slot,"bit=5"
18818.989365,link,read0_slot,"bit=6"
18924.989365,link,read0_slot,"bit=7"
19030.989365,link,read_byte_end,"0x00"
19030.989365,link,read_byte_begin,"source=0x00"
19030.989365,link,read0_slot,"bit=0"
19136.989365,link,read0_slot,"bit=1"
19242.989365,link,read0_slot,"bit=2"
19348.989365,link,read0_slot,"bit=3"
19454.989365,link,read0_slot,"bit=4"
19560.989365,link,read0_slot,"bit=5"
19666.989365,link,read0_slot,"bit=6"
19772.989365,link,read0_slot,"bit=7"
19878.989365,link,read_byte_end,"0x00"
19878.989365,link,read_byte_begin,"source=0x28"
19878.989365,link,read0_slot,"bit=0"
19984.989365,link,read0_slot,"bit=1"
20090.989365,link,read0_slot,"bit=2"
20196.989365,link,read1_slot,"bit=3"
20293.634800,link,read0_slot,"bit=4"
20399.634800,link,read1_slot,"bit=5"
20496.280235,link,read0_slot,"bit=6"
20602.280235,link,read0_slot,"bit=7"
20708.280235,link,read_byte_end,"0x28"
0.000000,physical,rc_sweep,"c_pf=25.000000 weak_tVIH_us=0.129087 strong_tVIH_us=0.002747"
0.000000,physical,rc_sweep,"c_pf=50.000000 weak_tVIH_us=0.258174 strong_tVIH_us=0.005493"
0.000000,physical,rc_sweep,"c_pf=125.000000 weak_tVIH_us=0.645435 strong_tVIH_us=0.013733"
0.000000,physical,rc_sweep,"c_pf=250.000000 weak_tVIH_us=1.290869 strong_tVIH_us=0.027465"
0.000000,physical,rc_sweep,"c_pf=500.000000 weak_tVIH_us=2.581739 strong_tVIH_us=0.054931"
0.000000,physical,rc_sweep,"c_pf=1000.000000 weak_tVIH_us=5.163478 strong_tVIH_us=0.109861"
